raw,datum,beskrivning,tag
6/9 Kollationering,6/9,Kollationering,meeting
"16/9-18/9 Internat på Granö Gård, Barnens Ö",16/9-18/9,"Internat på Granö Gård, Barnens Ö",tour
"1/10 Happening, Sing Sing",1/10,"Happening, Sing Sing",rehearsal
"12/11 Checkis, Ekhammarscenen, Kungsängen",12/11,"Checkis, Ekhammarscenen, Kungsängen",rehearsal
10/12 Smygis DOCH + 100-klubbens afton Alvik,10/12,Smygis DOCH + 100-klubbens afton Alvik,rehearsal
"14/12 Höstmöte, L1 på Campus",14/12,"Höstmöte, L1 på Campus",meeting
29/1 Genrep (Södra Teatern),29/1,Genrep (Södra Teatern),show
30/1 Premiär,30/1,Premiär,show
"31/1 Föreställning, KTH Alumni",31/1,"Föreställning, KTH Alumni",show
"4/2 Premiärfesten, Årsta Folkets Hus",4/2,"Premiärfesten, Årsta Folkets Hus",party
"23/2-27/2 Finland, föreställning lör 25e",23/2-27/2,"Finland, föreställning lör 25e",tour
"28/3 Omgång 2, föreställning, Bjupp (Södra Teatern)",28/3,"Omgång 2, föreställning, Bjupp (Södra Teatern)",show
"29/3 Omgång 2, föreställning",29/3,"Omgång 2, föreställning",show
"31/3 Bjuppfest, Kistan, Kista",31/3,"Bjuppfest, Kistan, Kista",party
"5/4 Vårmöte, V3, Campus",5/4,"Vårmöte, V3, Campus",meeting
"23/4 Omgång 3, föreställning, Gamla Spexare, (Södra Teatern)",23/4,"Omgång 3, föreställning, Gamla Spexare, (Södra Teatern)",show
"24/4 Omgång 3, föreställning, KTH Anställda",24/4,"Omgång 3, föreställning, KTH Anställda",show
"25/4 Omgång 3, föreställning",25/4,"Omgång 3, föreställning",show
29/4 Gamla Spexare-festen,29/4,Gamla Spexare-festen,party
"22/5 Extrainsatt stormöte, Musikrummet, Nymble",22/5,"Extrainsatt stormöte, Musikrummet, Nymble",meeting
"25/5-28/5 Spex-SM, Örebro",25/5-28/5,"Spex-SM, Örebro",tour
10/6 Sommaravslutning,10/6,Sommaravslutning,other
"28/8 N0lle-föreställning, (Södra Teatern)",28/8,"N0lle-föreställning, (Södra Teatern)",show
"29/8 Slask-föreställning, (öppen för allmänheten)",29/8,"Slask-föreställning, (öppen för allmänheten)",show
30/8 N0lle-föreställning,30/8,N0lle-föreställning,show
"9/9 Slutfest, Kröken",9/9,"Slutfest, Kröken",party
