raw,datum,beskrivning,tag
7/9   Kollationering,7/9,Kollationering,meeting
"22/9-24/9  Internat, Barnens Ö",22/9-24/9,"Internat, Barnens Ö",tour
25/9   Extrainsatt stormöte #3,25/9,Extrainsatt stormöte #3,meeting
14/10    Happening + Happeningfest,14/10,Happening + Happeningfest,rehearsal
31/10 Bludder #1,31/10,Bludder #1,other
4/11    Qulturgasque,4/11,Qulturgasque,party
25/11    Checkis + Checkisfest,25/11,Checkis + Checkisfest,rehearsal
2/12-3/12   Fondmålning,2/12-3/12,Fondmålning,other
6/12   Bludder #2,6/12,Bludder #2,other
11/12   Höstmöte,11/12,Höstmöte,meeting
16/12   Smygis + Smygisfest,16/12,Smygis + Smygisfest,rehearsal
28/12   Förrådsflytt,28/12,Förrådsflytt,other
"29/1   Genrep. Omgång 1, Södra Teatern",29/1,"Genrep. Omgång 1, Södra Teatern",show
"30/1   Föreställning, premiär. Omgång 1, Södra Teatern",30/1,"Föreställning, premiär. Omgång 1, Södra Teatern",show
"31/1   Föreställning. Omgång 1, Södra Teatern",31/1,"Föreställning. Omgång 1, Södra Teatern",show
3/2   Premiärfest,3/2,Premiärfest,party
8/2-12/2-mån Finland,8/2-12/2,Finland,tour
19/2 Seminarium,19/2,Seminarium,other
26/3 Vårmöte,26/3,Vårmöte,meeting
"19/3   Föreställning. Omgång 2, Södra Teatern",19/3,"Föreställning. Omgång 2, Södra Teatern",show
"20/3   Föreställning. Omgång 2, Södra Teatern",20/3,"Föreställning. Omgång 2, Södra Teatern",show
24/3    Bjuppfest,24/3,Bjuppfest,party
26/3   Vårmöte,26/3,Vårmöte,meeting
"15/4    Föreställning. Omgång 3, Södra Teatern",15/4,"Föreställning. Omgång 3, Södra Teatern",show
"16/4    Föreställning. Omgång 3, Södra Teatern",16/4,"Föreställning. Omgång 3, Södra Teatern",show
"17/4    Föreställning. Omgång 3, Södra Teatern",17/4,"Föreställning. Omgång 3, Södra Teatern",show
21/4     Gamla Spexare-fest,21/4,Gamla Spexare-fest,party
2/6-3/6    Mariefredsturné,2/6-3/6,Mariefredsturné,tour
27/8    N0lle-föreställning,27/8,N0lle-föreställning,show
28/8    Slasqueföreställning,28/8,Slasqueföreställning,show
29/8    N0lle-föreställning,29/8,N0lle-föreställning,show
7/9     Slutfest,7/9,Slutfest,party
