raw,datum,beskrivning,tag
"8/9 Kollationering (på Valhalla campus, L1)",8/9,"Kollationering (på Valhalla campus, L1)",meeting
"18/9-20/9-sön  Internatet (Granö gård, Barnens Ö)",18/9-20/9,"Internatet (Granö gård, Barnens Ö)",tour
10/10   Happening,10/10,Happening,meeting
17/10  Ev. Sittning med Teknologkören (och ev. PQ),17/10,Ev. Sittning med Teknologkören (och ev. PQ),other
1/11 Filmkväll: VLF (Musikrummet) kl. 14:00,1/11,Filmkväll: VLF (Musikrummet) kl. 14:00,other
14/11 Checkis + 100-klubbens afton,14/11,Checkis + 100-klubbens afton,rehearsal
"21/11-22/11-sön  Chalmerspexet Vera i Stockholm, ev. sittning tillsammans",21/11-22/11,"Chalmerspexet Vera i Stockholm, ev. sittning tillsammans",other
5/12 Sångartäflan,5/12,Sångartäflan,other
6/12 Målardag med Tekniken,6/12,Målardag med Tekniken,other
12/12 Smygis,12/12,Smygis,rehearsal
16/12 Höstmöte,16/12,Höstmöte,meeting
26/1 Genrep (Södra Teatern),26/1,Genrep (Södra Teatern),show
27/1 Premiär (Södra Teatern),27/1,Premiär (Södra Teatern),show
28/1 KTH-föreställning (Södra Teatern),28/1,KTH-föreställning (Södra Teatern),show
30/1 ​Premiärfesten,30/1,​Premiärfesten,party
18/2-21/2 Finlandsturné (föreställning under lördagen 20feb),18/2-21/2,Finlandsturné (föreställning under lördagen 20feb),tour
13/3 Omgång 2: Bjuppföreställning (Södra Teatern) + Bjuppfest (Stora gasque),13/3,Omgång 2: Bjuppföreställning (Södra Teatern) + Bjuppfest (Stora gasque),show
14/3 Omgång 2: Föreställning (Södra Teatern),14/3,Omgång 2: Föreställning (Södra Teatern),show
6/4 Vårmöte,6/4,Vårmöte,meeting
10/4 Omgång 3: Gamla spexare föreställning (Södra Teatern),10/4,Omgång 3: Gamla spexare föreställning (Södra Teatern),show
11/4 Omgång 3: KTH-föreställning (Södra Teatern),11/4,Omgång 3: KTH-föreställning (Södra Teatern),show
12/4 Omgång 3: Föreställning (Södra Teatern),12/4,Omgång 3: Föreställning (Södra Teatern),show
16/4 Gamla spexare festen (Alviks kulturhus),16/4,Gamla spexare festen (Alviks kulturhus),party
20/4 Spexinarium i improvisation #1 (D32),20/4,Spexinarium i improvisation #1 (D32),other
27/4 Spexinarium i improvisation #2 (D32),27/4,Spexinarium i improvisation #2 (D32),other
4/5 Spexinarium i improvisation #2 (D32),4/5,Spexinarium i improvisation #2 (D32),other
6/5 Sittning med Lulespexet (Stora gasque),6/5,Sittning med Lulespexet (Stora gasque),other
13/5-15/5 Myshelg,13/5-15/5,Myshelg,other
18/5 Marknadsföringsworkshop med PR (L22),18/5,Marknadsföringsworkshop med PR (L22),other
4/6-5/6 Mariefredsturné,4/6-5/6,Mariefredsturné,tour
10/8 Affeafton,10/8,Affeafton,other
14/8 Qulturpub,14/8,Qulturpub,other
22/8 Kårens dag,22/8,Kårens dag,other
28/8 Qulturpub,28/8,Qulturpub,other
29/8 n0lleomgång: n0lleföreställning (Södra Teatern),29/8,n0lleomgång: n0lleföreställning (Södra Teatern),show
30/8 n0lleomgång: slaskföreställning (Södra Teatern),30/8,n0lleomgång: slaskföreställning (Södra Teatern),show
31/8 n0lleomgång: n0lleföreställning (Södra Teatern),31/8,n0lleomgång: n0lleföreställning (Södra Teatern),show
9/9 Slutfest (Osqvik),9/9,Slutfest (Osqvik),party
