raw,datum,beskrivning,tag
13-15/9 Internat,15/9,Internat,tour
23/11 Checkis,23/11,Checkis,rehearsal
6/12-8/12 Fondmålning,6/12-8/12,Fondmålning,other
8/12 Musikgenomdrag,8/12,Musikgenomdrag,rehearsal
4/1 Tekniskt genomdrag,4/1,Tekniskt genomdrag,rehearsal
5/1 Smygis,5/1,Smygis,rehearsal
19/1 Genrep,19/1,Genrep,show
20/1 Premiär,20/1,Premiär,show
21/1 Föreställning,21/1,Föreställning,show
22/1 Föreställning,22/1,Föreställning,show
25/1 Premiärfest,25/1,Premiärfest,party
20/2-24/2 Finland,20/2-24/2,Finland,tour
23/8 Filmad föreställning,23/8,Filmad föreställning,show
