raw,datum,beskrivning,tag
10/9 Kollationering i K1,10/9,Kollationering i K1,meeting
18/9-20/9 Internat,18/9-20/9,Internat,tour
17/10 Happening i Ljusgården Teknikringen 78,17/10,Happening i Ljusgården Teknikringen 78,rehearsal
14/11 Smygis på Årsta Teater och 100-klubbens afton,14/11,Smygis på Årsta Teater och 100-klubbens afton,rehearsal
2/12-4/12 Premiär på Vasateatern,2/12-4/12,Premiär på Vasateatern,show
"8/12 Stormöte, kl 18 i K1, TR 56",8/12,"Stormöte, kl 18 i K1, TR 56",meeting
12/12 Slaskfest,12/12,Slaskfest,party
11/2-15/2 Finland,11/2-15/2,Finland,tour
1/3-3/3 Omgång 2 på Södra teatern,1/3-3/3,Omgång 2 på Södra teatern,show
2/3 Bjupp,2/3,Bjupp,show
3/3 KTHs anställda,3/3,KTHs anställda,show
6/3 Slaskfest omg 2,6/3,Slaskfest omg 2,party
23/3 Stormöte kl 18 i L1,23/3,Stormöte kl 18 i L1,meeting
7/4 Köpt föreställning på Södra teatern,7/4,Köpt föreställning på Södra teatern,show
10/4 Kårspexpub,10/4,Kårspexpub,other
16/4-18/4 Turné till Falun,16/4-18/4,Turné till Falun,tour
3/5-5/5 Omgång 3 på Södra teatern,3/5-5/5,Omgång 3 på Södra teatern,show
4/5 Gamla Spexare,4/5,Gamla Spexare,show
5/5 Slaskföreställning,5/5,Slaskföreställning,show
7/5 Gamla spexare-fest,7/5,Gamla spexare-fest,party
5/6-6/6 Marfan,5/6-6/6,Marfan,tour
13/6 Tennstopet,13/6,Tennstopet,other
30/8-1/9 N0lleföreställningar och Externa relationer,30/8-1/9,N0lleföreställningar och Externa relationer,show
4/9 Slutfest,4/9,Slutfest,party
