raw,datum,beskrivning,tag
7/9 Kollationering,7/9,Kollationering,meeting
"17/9-19/9 Internat, Barnens ö, avfärd 17.05 från teknis = FEST!",17/9-19/9,"Internat, Barnens ö, avfärd 17.05 från teknis = FEST!",tour
"2/10 Happening, ljusgården Teknikringen 78 och FEST!",2/10,"Happening, ljusgården Teknikringen 78 och FEST!",rehearsal
"6/11 Smygis, Årsta folkets hus och FEST!",6/11,"Smygis, Årsta folkets hus och FEST!",rehearsal
7/11 Affeafton,7/11,Affeafton,other
8/11 Biljettsläpp,8/11,Biljettsläpp,other
"29/11 Genrep, Södra teatern",29/11,"Genrep, Södra teatern",show
"30/11 Premiärföreställning, Södra teatern och FEST!",30/11,"Premiärföreställning, Södra teatern och FEST!",show
"1/12 Föreställning, Södra teatern",1/12,"Föreställning, Södra teatern",show
4/12 FEST!,4/12,FEST!,party
6/12 Höstmöte,6/12,Höstmöte,meeting
13/12 Spexluciabastu,13/12,Spexluciabastu,other
4/2-8/2 Finlandsturné,4/2-8/2,Finlandsturné,tour
"6/2 Föreställning, Gloria kl 16",6/2,"Föreställning, Gloria kl 16",show
"1/3-3/3 Omgång 2, Intiman",1/3-3/3,"Omgång 2, Intiman",show
"1/3 Föreställning, Intiman kl 19",1/3,"Föreställning, Intiman kl 19",show
"2/3 Bjupp, Intiman kl 19 + fest!",2/3,"Bjupp, Intiman kl 19 + fest!",show
"3/3 KTH-anställda, Intiman kl 19",3/3,"KTH-anställda, Intiman kl 19",show
"27/2 Lackning av programblad, Kåren",27/2,"Lackning av programblad, Kåren",other
7/3 Hemsidesbludder,7/3,Hemsidesbludder,other
11/3 Slaskfest med bastu,11/3,Slaskfest med bastu,other
8/4-10/4 Karlstadsturné,8/4-10/4,Karlstadsturné,tour
"9/4 Föreställning, Arenan",9/4,"Föreställning, Arenan",show
"2/5-4/5 Omgång 3, Södra teatern",2/5-4/5,"Omgång 3, Södra teatern",show
3/5 Gamla spexare-föreställning,3/5,Gamla spexare-föreställning,show
6/5 Gamla spexare-fest,6/5,Gamla spexare-fest,party
14/5 Quarnevalen,14/5,Quarnevalen,other
21/5 Slaskfest,21/5,Slaskfest,party
5/6 kl 13 Tennstopet,5/6,kl 13 Tennstopet,other
11/6 Mariefredsturné,11/6,Mariefredsturné,tour
28/8-31/8 n0lleomgången,28/8-31/8,n0lleomgången,show
28/8 slaskföreställning prel kl 16(obs! på en söndag),28/8,slaskföreställning prel kl 16(obs! på en söndag),show
29/8 n0lleföreställning kl 18.30,29/8,n0lleföreställning kl 18.30,show
30/8 KTH Alumni kl 19,30/8,KTH Alumni kl 19,show
31/8 n0lleföreställning kl 18.30,31/8,n0lleföreställning kl 18.30,show
3/9 Slutfest,3/9,Slutfest,party
