raw,datum,beskrivning,tag
8/9 Kollationering,8/9,Kollationering,meeting
16/9-18/9 Internat,16/9-18/9,Internat,tour
8/10 Happening,8/10,Happening,rehearsal
27/10 Biljettsläpp till årets premiär och omgång 1. Och PR-bludder 2!!,27/10,Biljettsläpp till årets premiär och omgång 1. Och PR-bludder 2!!,other
"5/11 Smygis Bristol, Sundbyberg",5/11,"Smygis Bristol, Sundbyberg",rehearsal
12/11 Shoppingtur för inköp av premiärkläder,12/11,Shoppingtur för inköp av premiärkläder,other
25/11 När det bara är några dagar kvar inför premiären så behöver man en paus så därför är det Qlubb M igen! Mer info kommer.,25/11,När det bara är några dagar kvar inför premiären så behöver man en paus så därför är det Qlubb M igen! Mer info kommer.,other
28/11-30/11 Genrep. Premiär och föreställning,28/11-30/11,Genrep. Premiär och föreställning,show
7/12 L1 Stormöte med info om Spex-SM,7/12,L1 Stormöte med info om Spex-SM,meeting
20/1: Premiärslask,20/1,Premiärslask,party
26/1-30/1: FINLAND!!!,26/1-30/1,FINLAND!!!,tour
13/2-15/2: Omgång 2. Måndag: Bjupp (med fest efteråt på natten) Tisdag: KTH-anställda Onsdag: Som ”vanligt” (även om det inte finns något vanligt med en underbar Kårspex-föreställning),13/2-15/2,Omgång 2. Måndag: Bjupp (med fest efteråt på natten) Tisdag: KTH-anställda Onsdag: Som ”vanligt” (även om det inte finns något vanligt med en underbar Kårspex-föreställning),show
21/3 Vårmöte,21/3,Vårmöte,meeting
2/4-4/4: Omgång 3,2/4-4/4,Omgång 3,show
14/4: Gamla Spexare-festen,14/4,Gamla Spexare-festen,party
13/5: Genrep Spex-SM,13/5,Genrep Spex-SM,rehearsal
17/5-20/5: Spex-SM,17/5-20/5,Spex-SM,tour
23/5: Spexinarium 2,23/5,Spexinarium 2,other
9/6-10/6: Turné,9/6-10/6,Turné,tour
26/8: Slask föreställningsstart kl 16,26/8,Slask föreställningsstart kl 16,show
27/8: n0llan,27/8,n0llan,show
29/8: n0llan,29/8,n0llan,show
30/8: KTH alumni,30/8,KTH alumni,show
8/9 Slutfest,8/9,Slutfest,party
