raw,datum,beskrivning,tag
5/9 Kollationering,5/9,Kollationering,meeting
"14/9-16/9 Internatet, Granö gård",14/9-16/9,"Internatet, Granö gård",tour
"13/10 Happening i M23/M24, M-huset",13/10,"Happening i M23/M24, M-huset",rehearsal
"10/11 Checkis i Satelliten, Sollentuna",10/11,"Checkis i Satelliten, Sollentuna",rehearsal
"26/11 Höstmöte, B1",26/11,"Höstmöte, B1",meeting
"15/12 Smygis, Riksteatern, Hallunda",15/12,"Smygis, Riksteatern, Hallunda",rehearsal
27/1 Genrepet,27/1,Genrepet,show
"28/1 Premiär, Omgång 1, Södra teatern",28/1,"Premiär, Omgång 1, Södra teatern",show
"29/1 KTH-alumni, Omgång 1, Södra teatern",29/1,"KTH-alumni, Omgång 1, Södra teatern",show
2/2 Premiärfesten,2/2,Premiärfesten,party
21/2-25/2 Finlandsturné,21/2-25/2,Finlandsturné,tour
"24/3 Bjuppen, Omgång 2, Södra teatern",24/3,"Bjuppen, Omgång 2, Södra teatern",show
"25/3 Föreställning, Omgång 2, Södra teatern",25/3,"Föreställning, Omgång 2, Södra teatern",show
30/3 Bjupp-festen,30/3,Bjupp-festen,party
4/4 Vårmöte,4/4,Vårmöte,meeting
"23/4 KTH-anställda, Omgång 3, Södra teatern",23/4,"KTH-anställda, Omgång 3, Södra teatern",show
"24/4 Gamla spexare, Omgång 3, Södra teatern",24/4,"Gamla spexare, Omgång 3, Södra teatern",show
"25/4 Föreställning, Omgång 3, Södra teatern",25/4,"Föreställning, Omgång 3, Södra teatern",show
26/4 Gamla spexare-festen,26/4,Gamla spexare-festen,party
17/5-19/5 Turné till Örebro,17/5-19/5,Turné till Örebro,tour
10/6 Sommaravslutning,10/6,Sommaravslutning,party
24/8 Förberedelsedag på Dieselverkstaden,24/8,Förberedelsedag på Dieselverkstaden,show
"25/8 Slasken, n0lleomgång, Dieselverkstaden",25/8,"Slasken, n0lleomgång, Dieselverkstaden",show
"26/8 Föreställning, n0lleomgång, Dieselverkstaden",26/8,"Föreställning, n0lleomgång, Dieselverkstaden",show
"27/8 Föreställning, n0lleomgång, Dieselverkstaden",27/8,"Föreställning, n0lleomgång, Dieselverkstaden",show
"31/8 Slutfesten, Stora gasque i Nymble",31/8,"Slutfesten, Stora gasque i Nymble",party
